,Names,Gender,Hair_Color,Tags,Anime,Manga
93,Lilith,Female,Blonde Hair,"['Foreigner', 'Gloves', 'Immortal', 'Musician', 'Pigtails', 'Scantily-clad']",['Vampire Princess Miyu TV'],['Vampire Princess Miyu']
94,Yui-li,Female,Brown Hair,"['Dual Wielder', 'Exorcist', 'Foreigner', 'Knife Fighter', 'Martial Artist', 'Ponytail', 'Tattoo', 'Vengeful']",['Vampire Princess Miyu TV'],
95,Kugayama,Male,,"['Gay', 'LGBT+']",['Reversible!'],
96,Sakoji ITAMUNE,Male,Black Hair,"['Artist', 'Glasses']",['Manyuu Hiken-chou'],['Manyuu Hiken-chou']
97,Rei KOJIMA,Female,,['Nyotai-ka'],,
98,Marie,Female,,"['Glasses', 'Immortal', 'Vampire']",['Oretama'],
99,Sugimura,Male,Black Hair,"['High School Student', 'Teenager']","['To Love Ru: Darkness', 'To Love Ru: Darkness 2nd']",['To Love Ru Darkness']
100,Submarimon,Male,,"['Artificial Intelligence (AI)', 'Monster']",['Digimon Xros Wars: Toki o Kakeru Shounen Hunter-tachi'],
101,Plesiomon,Female,,"['Artificial Intelligence (AI)', 'Monster']",['Digimon Xros Wars: Toki o Kakeru Shounen Hunter-tachi'],
102,Fujimura,Male,,['Hotarubi no Mori e'],,
103,Tenga KOGANEI,Male,Blonde Hair,"['Hair Antenna', 'Martial Artist', 'Muscular', 'Piercings']",['Sumomomo Momomo'],
104,Lupe CINEAU,Female,Black Hair,"['Adult', 'Mecha Pilot', 'Military', 'Ruthless']",['Mobile Suit Victory Gundam'],
105,Peggy LEE,Female,Blonde Hair,"['Adult', 'Mecha Pilot', 'Military']",['Mobile Suit Victory Gundam'],
106,Kyouka IBURI,Female,Purple Hair,['Ruthless'],['Kiss Dum: Engage Planet'],
107,Rei,Female,Blue Hair,"['Cruel', 'Manipulative', 'Pigtails']","['Kiss Dum: Engage Planet', 'Kiss Dum: Engage Planet Special']",
108,Yuno RUKINA,Female,Brown Hair,"['Glasses', 'Scientist']",['Kiss Dum: Engage Planet'],
109,Juca MEILASCH,Female,Purple Hair,"['Adult', 'Mecha Pilot', 'Military']",['Mobile Suit Victory Gundam'],
110,Hae-Jung NAH,Female,Pink Hair,"['Adult', 'Closed Eyes']",['Unbalance x 2'],
111,Rozenmann,Male,Blonde Hair,"['Eye Patch', 'Nobility', 'Vampire']",['Dance in the Vampire Bund'],
112,Junta's Father,Male,Black Hair,['Glasses'],['Yozakura Quartet'],['Yozakura Quartet']
113,Denma KATSURAGI,Male,White Hair,"['Elderly', 'Facial Hair', 'Glasses']",['Kami Nomi zo Shiru Sekai'],
114,Martina KRANSKIE,Female,Blue Hair,['Child'],['Mobile Suit Victory Gundam'],
115,Baron ALBERTO,Male,Pink Hair,"['Big Ego', 'Monster Tamer']","['Pokemon Movie 10: The Rise of Darkrai', 'Pokemon Movie 12: Arceus and the Jewel of Life']",['Pokemon: The Rise of Darkrai']
116,Yoyo,Female,Purple Hair,['Freckles'],['Sekiei Ayakashi Mangatan'],
117,Akira SASAO,Male,Brown Hair,['Artist'],['Yebisu Celebrities'],
118,Fortune Teller,Female,Blonde Hair,"['Choker', 'Fortune Teller', 'Headband']",['xxxHOLiC'],['xxxHOLiC']
119,Peace,Female,Black Hair,"['Adult', 'Glasses', 'Police']",['Angel Cop'],['Angel Cop']
120,Lucifer,Female,Blonde Hair,"['Muscular', 'Psychic Powers', 'Ruthless']",['Angel Cop'],['Angel Cop']
121,Emina KUSUNOKI,Female,Blonde Hair,"['Middle School Student', 'Pigtails', 'Teenager']",['Inumimi'],
122,Bush Warbler Trainer,Female,Green Hair,['Animal Lover'],['Double-J'],
123,Gao HAI,Male,,"['Adult', 'Hat', 'Politician']",['Code Geass: Lelouch of the Rebellion R2'],
124,Dole FROST,Male,Purple Hair,"['Adult', 'Mecha Pilot', 'Military']",['Mobile Suit Gundam AGE'],
125,Edge,Female,Black Hair,"['Android', 'Robot', 'Sadistic']",['Saber Marionette R'],
126,Liu Bei,Male,Black Hair,"['Historical Figure', 'Military']",['Romance of the Three Kingdoms'],['Sangokushi']
127,Yuuka,Female,Brown Hair,"['Glasses', 'High School Student', 'LGBT+', 'Teenager']",['Koi no Kaori'],
128,SuoNaMu,Male,Brown Hair,"['Adult', 'Headband']",['The Tibetan Dog'],
129,Hoshi BUDOU,Female,Black Hair,"['Maid', 'Ponytail', 'Superpowers', 'Sword Fighter', 'Traveler']",['Banana no Nana'],
130,Marie HANKINTON,Female,White Hair,"['Braids', 'Dark-skinned', 'Deity', 'Lazy']",['Karakasa no Saien'],
131,Mink LAYDEN,Female,White Hair,"['Adult', 'Dark-skinned', 'Hot-Headed', 'Mecha Pilot', 'Military']",['Mobile Suit Gundam AGE'],
132,Ikariya,Blue Hair,,"['Robot', 'Squid']","['Hand Maid May', 'Hand Maid May Special']",
133,Oliver MAY,Male,Blonde Hair,"['Adult', 'Mechanic', 'Military']","['Mobile Suit Gundam MS IGLOO: Apocalypse 0079', 'Mobile Suit Gundam MS IGLOO: The Hidden One Year War']",
134,Mist,Female,Green Hair,['Bandana'],['Aquarion Evol'],
135,Sonia SHAFLNARZ,Female,Blue Hair,"['Glasses', 'Nun']","['Hayate the Combat Butler!!', ""Hayate the Combat Butler! Can't Take My Eyes Off You"", 'Hayate the Combat Butler!! OVA']",['Hayate the Combat Butler']
136,Saki's Father,Male,Brown Hair,"['Adult', 'Glasses']",['Natsuiro Kiseki'],
137,Legatus,Male,,"['Adult', 'Cook', 'Cowardly', 'Historical Figure', 'Military']",['Sengoku Basara: Samurai Kings Movie - The Last Party'],
138,Mizore,Male,Purple Hair,"['Adult', 'Ninja']",['Naruto Movie 1: Ninja Clash in the Land of Snow'],
139,Tony GLAZER,Male,Blonde Hair,"['Adult', 'Bald', 'Facial Hair']","['Symphogear', 'Symphogear GX']",
140,Rinko's Father,Male,Brown Hair,"['Adult', 'Closed Eyes']",['Natsuiro Kiseki'],
141,Tomache MASSARIK,Male,Black Hair,"['Mecha Pilot', 'Teenager']",['Mobile Suit Victory Gundam'],
142,Francesca O'HARA,Female,Orange Hair,"['Adult', 'Mecha Pilot', 'Military']",['Mobile Suit Victory Gundam'],
143,Machina EXEQUIA,Female,Blonde Hair,"['Frequently-Naked', 'Gunslinger', 'Pigtails', 'Selfish', 'Teenager']",['Deus x Machina'],
144,Mirabelle GRACELAND,Female,Green Hair,"['Hat', 'Nobility', 'Pointy Ears', 'Thief', 'Traveler', 'Treasure Hunter', 'Vampire']",['Wild Arms: Twilight Venom'],
145,Nina,Female,,"['Angel', 'Immortal', 'Pigtails']",['Oretama'],
146,Duel,Female,,"['Demon', 'Horns', 'Immortal', 'Masks', 'Scantily-clad', 'Wings']",['Oretama'],
147,Shizue HIRARA,Female,,"['High School Student', 'Lesbian', 'LGBT+', 'Pigtails', 'Teenager']",['Umi no Misaki'],
148,Chikage,Female,,['Hair Antenna'],['Fujimura-kun Meitsu'],
149,Mill VARNAS,Female,Brown Hair,"['Crybaby', 'Royalty', 'Traveler', 'Verbal Tic']","['Maze', 'Maze Bakunetsu Jikuu: Hot Springs', 'Maze Bakunetsu Jikuu: Tenpen Kyoui no Giant', 'Maze OVA']",
150,Takuma ZENSHUIN,Male,Turquoise Hair,['Elf Princess Rane'],,
151,Mamoru KABE,Male,Grey Hair,['Epic Eyebrows'],['Zetman'],['Zetman']
152,Jun TAKAHASHI,Female,Brown Hair,"['High School Student', 'Teenager']",['Sengoku Collection'],
153,Wong KASTROVA,Male,Brown Hair,['Military'],['Mobile Suit Gundam AGE'],
154,Techs FARZENBERG,Male,Blonde Hair,"['Adult', 'Doctor', 'Glasses']",['After War Gundam X'],['After War Gundam X']
155,White Dolphin,Female,,"['Animal', 'Dolphin']",['After War Gundam X'],
156,Kim,Male,Brown Hair,"['Adult', 'Military']","['Mobile Suit Gundam 00', 'Mobile Suit Gundam 00 Second Season', 'Mobile Suit Gundam 00 Special Edition I: Celestial Being', 'Mobile Suit Gundam 00 Special Edition III: Return the World', 'Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer']",
157,Bors ASSAN,Male,Brown Hair,"['Adult', 'Dark-skinned']",['Mobile Suit Gundam 00'],
158,Mineko KAZAMA,Female,Blue Hair,['Adult'],['Crayon Shin-chan'],
159,Mustain,Male,Black Hair,"['Flirt', 'Guitarist', 'Musician', 'Ponytail', 'Sunglasses']",['Dark Air'],
160,Mahal,Male,Brown Hair,"['Adult', 'Facial Hair', 'Glasses', 'Terrorist']","['Mobile Suit Gundam 00 Second Season', 'Mobile Suit Gundam 00 Special Edition II: End of World']",
161,Bring STABITY,Male,Red Hair,"['Genetically Engineered', 'Immortal', 'Mecha Pilot', 'Military', 'Stoic']","['Mobile Suit Gundam 00 Second Season', 'Mobile Suit Gundam 00 Special Edition II: End of World']","['Mobile Suit Gundam 00 2nd Season', 'Mobile Suit Gundam 00F']"
162,Josef,Male,Brown Hair,"['Child', 'Orphan']","['Mobile Suit Gundam 00 Second Season', 'Mobile Suit Gundam 00 Special Edition III: Return the World', 'Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer']",
163,Mayu-tan,Female,,"['Headband', 'Maid', 'Part Time Employee', 'Poor', 'Teenager']",['Come Come Vanilla!'],
164,Lowe GEAR,Male,Brown Hair,"['Headband', 'Mechanic', 'Mecha Pilot']",['Mobile Suit Gundam SEED MSV Astray'],"['Mobile Suit Gundam SEED Astray', 'Mobile Suit Gundam SEED Astray R', 'Mobile Suit Gundam SEED Destiny Astray', 'Mobile Suit Gundam SEED X Astray']"
165,Karena NANJOU,Female,Blonde Hair,"['Athlete', 'High School Student', 'Huge Breasts', 'Rosy Cheeks', 'Swimmer']",['Umisho'],
166,Conroy HAAGENSEN,Male,Black Hair,"['Adult', 'Mecha Pilot', 'Military']",['Mobile Suit Gundam Unicorn'],['Mobile Suit Gundam Unicorn: Bande Dessinee']
167,Yeon-Hee CHOI,Female,White Hair,"['Cook', 'Sickly', 'Teenager']",['Carnivorous Princess Yegrinna'],
168,Mr. Gold,Male,Blonde Hair,"['Facial Hair', 'Sunglasses']",['Pokemon: Black & White'],
169,Futagawa,Female,Brown Hair,['Part Time Employee'],['Sengoku Collection'],
170,Shrade's Mother,Female,Blonde Hair,"['Adult', 'Headband']",['Aquarion Evol'],
171,Sid MUNZER,Male,Grey Hair,"['Archaeologist', 'Elderly', 'Glasses', 'Hat']","['Turn A Gundam', 'Turn A Gundam I: Earth Light', 'Turn A Gundam II: Moonlight Butterfly']",
172,Takashi TERADA,Male,Grey Hair,['Adult'],['Roujin Z'],
173,Agahali,Female,Blue Hair,"['Dark-skinned', 'Headband', 'Heterochromia', 'Military', 'Sword Fighter', 'Tattoo', 'Teenager']",['Landlock'],
174,Romy EZELCANT,Male,Black Hair,"['Sickly', 'Teenager']",['Mobile Suit Gundam AGE'],
175,Mako's Father,Male,Brown Hair,"['Adult', 'Computer Programmer', 'Glasses', 'Sickly']",['Computer Kakumei: Saikyou x Saisoku no Zunou Tanjou'],
176,Dino Ptera,Female,,"['Dinosaur', 'Wings']",['Dinozaurs: The Series'],
177,Yun Yun Bloody Star,Male,Black Hair,"['Glasses', 'Otaku', 'Overweight']",['Sket Dance'],
178,Takashi KANASHIKATA,Male,Brown Hair,"['Glasses', 'Hat']",['Sket Dance'],
179,Grosum,Male,Black Hair,"['Adult', 'Facial Hair', 'Ponytail', 'Wealthy']","['Tsubasa Reservoir Chronicle', 'Tsubasa Reservoir Chronicle 2nd Season', 'Tsubasa: Spring Thunder Chronicle']",
180,Tonkii,Artificial Intelligence (AI),Monster,['Sword Art Online (Light Novel)'],,
181,Chen Jian YI,Male,Black Hair,"['Adult', 'Hat', 'Military']","['Mobile Suit Gundam SEED Destiny', 'Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future', 'Mobile Suit Gundam SEED Destiny Special Edition I: The Broken World', 'Mobile Suit Gundam SEED Destiny Special Edition IV: The Cost of Freedom']",
182,Sidney SITHOLE,Male,Grey Hair,"['Adult', 'Dark-skinned', 'Hat', 'Military']","['Legend of the Galactic Heroes', 'Legend of the Galactic Heroes: Die Neue These Second 1', 'Legend of the Galactic Heroes: Overture to a New War', 'Legend of the Galactic Heroes: Spiral Labyrinth']",['Legend of the Galactic Heroes']
183,Corey,Male,Blonde Hair,['Child'],['Mobile Suit Gundam'],
184,Oscar DUBLIN,Male,Brown Hair,"['Glasses', 'Teenager']","['Mobile Suit Gundam', 'Mobile Suit Gundam I', 'Mobile Suit Gundam III: Encounters in Space', 'Mobile Suit Gundam II: Soldiers of Sorrow', 'Mobile Suit Gundam: The Origin - Advent of the Red Comet']",
185,Chris,Male,Brown Hair,"['Child', 'Monster Tamer', 'Wealthy']",['Pokemon: Black & White - Rival Destinies'],
186,B.A. Bandora,Female,Magenta Hair,"['Headphones', 'Mohawk', 'Pilot', 'Sunglasses']","['Agent AiKa', 'Agent Aika: Special Trial']",
187,Yakov NIJINSKI,Male,Grey Hair,"['Mecha Pilot', 'Military', 'Teenager']",['Muv-Luv Alternative: Total Eclipse'],
188,Village Chief,Male,Grey Hair,['Elderly'],['Tsubasa Reservoir Chronicle 2nd Season'],
189,Mew FUMIZUKI,Female,Green Hair,"['Alien', 'Secret Identity']",['Hyper Doll'],
190,Akina A,Female,Red Hair,['Idol'],['Najica Blitz Tactics'],
191,Azusa KATSURAGI,Female,Brown Hair,['Najica Blitz Tactics'],,
192,Brocken MEYER,Male,,"['Adult', 'Spirit Seer']","['Shaman King', 'Shaman King (2021)']","['Shaman King', 'Shaman King: Flowers (Pilot)', 'Shaman King Kang Zeng Bang', 'Shaman King: Zero']"
193,Jigitalis,Male,Blue Hair,"['Mecha Pilot', 'Scar']",['Tengen Toppa Gurren Lagann OVA'],
194,Saffra,Female,Blue Hair,['Pigtails'],['Toriko TV'],
195,Lady MARIE,Female,,['Dancer'],['07-Ghost'],
196,Don CAPUA,Male,Turquoise Hair,"['Facial Hair', 'Gunslinger', 'Overweight', 'Scar']",['The Legend of Heroes: Trails in the Sky'],['The Legend of Heroes: Trails in the Sky']
197,Lucciola,Female,Turquoise Hair,['Ponytail'],['The Legend of Heroes: Trails in the Sky'],
198,Josette CAPUA,Female,Turquoise Hair,"['Goggles', 'Tomboy']",['The Legend of Heroes: Trails in the Sky'],['The Legend of Heroes: Trails in the Sky']
199,Beethoven,Female,Blonde Hair,"['Hat', 'Historical Figure']",['Sengoku Collection'],
200,Sir Wilhelm,Male,Black Hair,"['Adult', 'Knight', 'Mecha Pilot', 'Military']",['Code Geass: Akito the Exiled'],
201,Black Andromeda,Male,Green Hair,"['Armor', 'Chain Fighter', 'Helmet', 'Superpowers', 'Warrior']",['Saint Seiya: Knights of the Zodiac'],
202,Sheltis Magna YEHLE,Male,Purple Hair,"['Choker', 'Dual Wielder', 'Hair Antenna', 'Sword Fighter', 'Teenager']","['Hyouketsu Kyoukai no Eden', 'Hyouketsu Kyoukai no Eden (Light Novel)']",
203,Helene,Female,Black Hair,"['Android', 'Ponytail', 'Robot']",['Casshern Sins'],
204,Iwao TAKATSUKI,Male,Black Hair,"['Hat', 'Martial Artist', 'Scar']","['Project ARMS', 'Project ARMS: The 2nd Chapter']",['Project ARMS']
205,Misa TAKATSUKI,Female,Black Hair,"['Project ARMS', 'Project ARMS: The 2nd Chapter']",['Project ARMS'],
206,Lizard Misty,Male,Blonde Hair,"['Armor', 'Big Ego', 'Helmet', 'Teenager', 'Warrior']","['Knights of the Zodiac: Saint Seiya', 'Saint Seiya: Knights of the Zodiac', 'Saint Seiya: The Hades Chapter - Sanctuary']","['Knights of the Zodiac', 'Saint Seiya: Episode G']"
207,Sho,Male,Blue Hair,"['Armor', 'Helmet', 'Warrior']","['Saint Seiya: Knights of the Zodiac', 'Saint Seiya Omega']",
208,Yuki,Female,Brown Hair,"['Maid', 'Nurse']",['Hanaukyo Maid Team'],
209,King of Red Lions,Male,,['Inanimate Object'],"[""The Legend of Zelda: The Wind Waker - Link's Logbook""]",
210,Duo,Male,Black Hair,"['Sword Fighter', 'Vampire']",['Legend of DUO'],
211,Prime Minister Fujiwara,Male,Brown Hair,"['Adult', 'Politician', 'Ruthless']",['Code:Breaker'],['Code:Breaker']
212,Shou OSORA,Male,,['Love Monster'],,
213,Cassios,Male,White Hair,"['Abnormally Tall', 'Armor', 'Dark-skinned', 'Mohawk', 'Muscular', 'No Eyebrows', 'Warrior']","['Knights of the Zodiac: Saint Seiya', 'Knights of the Zodiac: Saint Seiya - Battle for Sanctuary', 'Saint Seiya: Knights of the Zodiac', 'Saint Seiya: Soushuuhen']",['Knights of the Zodiac']
214,Aoi KUROSAKI,Female,Brown Hair,"['Adult', 'Athlete', 'Lesbian', 'LGBT+', 'Swimmer']",['The Devil Lady'],
215,Hitomi KONNO,Female,Purple Hair,"['Lesbian', 'LGBT+', 'Model', 'Stalker']",['The Devil Lady'],
