,Names,Gender,Hair_Color,Tags,Anime,Manga
0,Tadataka ZENGYOU,Male,Black Hair,"['Facial Hair', 'Glasses', 'Military']",['Gunparade March'],"['Gunparade March', 'Gunparade March: Last Dance Gunparade']"
1,Ginga KURUSU,Male,Brown Hair,"['Hat', 'Military']",['Gunparade March'],"['Gunparade March', 'Gunparade March: Last Dance Gunparade']"
2,Towa SASAKURA,Female,Brown Hair,"['Adult', 'Mechanic', 'Ponytail']",['The Sky Crawlers'],
3,Diner Owner,Male,Grey Hair,"['Facial Hair', 'Glasses', 'Hat', 'Smoker']",['The Sky Crawlers'],
4,Yuuichi KONNO,Male,,"['20th Century Boys', '21st Century Boys']",,
5,Mitsuo ICHIKAWA,Male,Black Hair,"['Adult', 'Bisexual', 'Hot-Headed', 'LGBT+', 'Mole', 'Piercings', 'Smoker']",['Double Mints'],
6,Shadow,Female,Blue Hair,"['Big Ego', 'Robot']","['Adieu Galaxy Express 999', 'Galaxy Express 999', 'Galaxy Express 999 Movie']","['Galaxy Express 999', 'Galaxy Express 999 (1996)']"
7,Takashi FUJIKAWA,Male,,"['Adult', 'Facial Hair', 'University Student']",['Goodnight Punpun'],
8,Kei,Female,,"['Athlete', 'High School Student', 'Pigtails', 'Teenager']",['Teppuu'],
9,Yuri's Father,Male,Brown Hair,"['Adult', 'Artist']",['Penguindrum'],
10,General Hein,Male,Black Hair,"['Adult', 'Military']",['Final Fantasy: The Spirits Within'],
11,Thoma,Male,Black Hair,"['Child', 'Martial Artist', 'Piercings', 'Ponytail']",['Fantastic Children'],
12,Kohei YAMASHITA,Male,Purple Hair,"[""Welcome to Irabu's Office""]",,
13,Yuta TSUDA,Male,Turquoise Hair,"['High School Student', 'Teenager']","[""Welcome to Irabu's Office""]",
14,Kagura,Male,Brown Hair,['Adult'],['Phantom Thief Jeanne'],
15,Freiya,Female,Blonde Hair,"['Artist', 'Poor']",['Galaxy Express 999'],
16,Chief Engineer Maji,Male,Black Hair,"['Bandana', 'Facial Hair', 'Mechanic']",['Captain Harlock'],
17,Al SOUTHWELL,Male,Blonde Hair,['Police'],"['Dominion Tank Police', 'New Dominion Tank Police']",['Dominion']
18,Police Chief,Male,White Hair,"['Facial Hair', 'Hot-Headed', 'Police']","['Dominion Tank Police', 'New Dominion Tank Police']",['Dominion']
19,Shinta TAGAMORI,Male,Black Hair,['Hair Antenna'],['GAN☆KON'],
20,Kujirai,Female,,"['Eye Patch', 'Martial Artist']",['Aiki'],
21,Billy MACDOWELL,Male,Black Hair,"['Dark-skinned', 'Facial Hair', 'Foreigner', 'Piercings', 'Sunglasses']",['Alice 19th'],
22,Mary,Female,,['Child'],['O-Parts Hunter'],
23,Mrs. Basil,Female,,['Adult'],['O-Parts Hunter'],
24,Kujaku,Male,,"['Blinding Bangs', 'Scar']",['O-Parts Hunter'],
25,Mysterious Youth,Male,,['Wings'],['O-Parts Hunter'],
26,Rock,Male,,"['Gunslinger', 'Headband']",['O-Parts Hunter'],
27,Saegusa,Male,Black Hair,"['Adult', 'Terrorist']","['Mobile Suit Gundam ZZ', 'Mobile Suit Zeta Gundam', 'Mobile Suit Zeta Gundam: A New Translation -Heirs to the Stars-', 'Mobile Suit Zeta Gundam: A New Translation III -Love is the Pulse of the Stars-', 'Mobile Suit Zeta Gundam: A New Translation II -Lovers-']",['Mobile Suit Z Gundam Define']
28,Pinion,Male,,"['Artist', 'Child']",['+Anima'],
29,Kazana,Male,,"['Bandages', 'Wings']",['+Anima'],
30,Cyranova,Male,,['Wings'],['+Anima'],
31,Lance LUMIERE,Male,,['Animal'],"['Lucifer and the Biscuit Hammer', 'Lucifer and the Biscuit Hammer: Zenhan-sen']",['Lucifer and the Biscuit Hammer']
32,Ron YUE,Animal,Reptile,"['Lucifer and the Biscuit Hammer', 'Lucifer and the Biscuit Hammer: Zenhan-sen']",['Lucifer and the Biscuit Hammer'],
33,Sensuke,Hat,Scarf,['Kekkaishi'],['Kekkaishi'],
34,Jinnai,Male,,['Immortal'],['Buso Renkin'],['Buso Renkin']
35,TV Fish,Fish,,['Gregory Horror Show'],,
36,Cactus Gunman,Male,Black Hair,"['Anthropomorphic', 'Facial Hair', 'Hat']",['Gregory Horror Show'],
37,Ryuu ROUMEN,Male,Black Hair,"['Adult', 'Assassin', 'Cook', 'Epic Eyebrows', 'Facial Hair', 'Magnificent Mustache']",['Yakitate!! Japan'],
38,Patrick ZALA,Male,Grey Hair,"['Adult', 'Genetically Engineered', 'Politician', 'Racial Purist', 'Ruthless', 'Warmonger']","['Mobile Suit Gundam SEED', 'Mobile Suit Gundam SEED Movie III: The Rumbling Sky', 'Mobile Suit Gundam SEED Movie II: The Far-Away Dawn', 'Mobile Suit Gundam SEED Movie I: The Empty Battlefield']",['Mobile Suit Gundam SEED Astray']
39,Ami SUZUKI,Female,,['Mechanic'],['Air Gear'],
40,Brecker,Male,Grey Hair,"['Adult', 'Nobility', 'Selfish']",['Snow White with the Red Hair'],['Snow White with the Red Hair']
41,Goddess,Female,Pink Hair,"['Deity', 'Magic User', 'Pointy Ears']",['Gokudo'],
42,Oliver,Male,Blonde Hair,"['Foreigner', 'Muscular', 'Sunglasses']","['Nodame Cantabile', 'Nodame Cantabile: Finale', 'Nodame Cantabile: Paris']",['Nodame Cantabile']
43,Hansel,Male,,"['Assassin', 'Cape', 'Hat', 'Muscular']",['Ludwig Kakumei'],
44,R2003,Tokyo Mew Mew a la Mode,,,,
45,Miki FUJIWARA,Female,,"['Glasses', 'Pigtails']",['Koimoku'],
46,Midori NAKAMURA,Female,Black Hair,"['Adult', 'Musician', 'Teacher', 'Violinist']",['Nodame Cantabile'],['Nodame Cantabile']
47,Hiraizumi,Male,Brown Hair,"['Adult', 'Facial Hair', 'Team Coach']",['Giant Killing'],['Giant Killing']
48,Shige FUKAZAWA,Male,,"['Adult', 'Overweight']",['Giant Killing'],['Giant Killing']
49,Kyu,Male,Red Hair,['Big Nose'],['Hunter x Hunter (2011)'],['Hunter x Hunter']
50,Maon's Father,Male,Black Hair,['Adult'],"['Tamayura: Hitotose', 'Tamayura: More Aggressive', 'Tamayura: More Aggressive OVA']",
51,Tadokoro,Male,Brown Hair,['Sket Dance'],['Sket Dance'],
52,Mine KURAMITSU,Female,Brown Hair,['Glasses'],['Un-Go'],
53,Carozzo RONAH,Male,,"['Adult', 'Big Ego', 'Cape', 'Masks', 'Mecha Pilot', 'Military', 'Royalty', 'Ruthless']",['Mobile Suit Gundam F91'],
54,Birgit PIRJO,Male,Blonde Hair,"['Adult', 'Mecha Pilot', 'Military']",['Mobile Suit Gundam F91'],
55,Minmi EDITOH,Female,Turquoise Hair,['Adult'],['Mobile Suit Gundam F91'],
56,Conrad,Male,Blonde Hair,"['Big Ego', 'Headband', 'Knight', 'Nobility']",['Rune Soldier'],['Louie the Rune Soldier']
57,Jakinson,Male,White Hair,"['Balding', 'Facial Hair', 'Ponytail']",['Rune Soldier'],
58,Lily,Female,Orange Hair,"['Hat', 'Magic User']",['Rune Soldier'],['Louie the Rune Soldier']
59,Ulube ISHIKAWA,Male,Brown Hair,"['Adult', 'Masks', 'Military']",['Mobile Fighter G Gundam'],
60,Mikino KASSHU,Female,Brown Hair,"['Adult', 'Scientist']",['Mobile Fighter G Gundam'],
61,Manon CHAPMAN,Female,Red Hair,['Adult'],['Mobile Fighter G Gundam'],
62,Carl MAISSER,Male,Black Hair,"['LGBT+', 'Middle School Student', 'Teenager']",['Song of Wind and Trees'],['Kaze to Ki no Uta']
63,Moto TONOMURA,Female,Black Hair,"['High School Student', 'Pigtails', 'Teenager']",['Boogiepop Phantom'],
64,Rie SATO,Female,Black Hair,['Part Time Employee'],['Boogiepop Phantom'],
65,Mayumi KISARAGI,Female,Brown Hair,"['Adult', 'Amnesia']",['Boogiepop Phantom'],
66,Sayoko OIKAWA,Female,Black Hair,['Middle School Student'],['Boogiepop Phantom'],
67,Saki YOSHIZAWA,Female,Brown Hair,"['High School Student', 'Musician', 'Pianist', 'Teenager']",['Boogiepop Phantom'],
68,Kyral MEKIREL,Male,Brown Hair,"['Adult', 'Assassin', 'Disabled', 'Goggles', 'Hat', 'Mecha Pilot']",['Mobile Fighter G Gundam'],['Mobile Fighter G Gundam']
69,Hachirobe KOUSAKA,Male,,"['Balding', 'Elderly', 'Eye Patch', 'Facial Hair', 'Scar']","[""History's Strongest Disciple Kenichi""]",
70,Cat Boy,Male,,['Animal Ears'],['Hakase to Neko'],
71,Nakaoji,Male,,"['Class Representative', 'High School Student', 'Teenager']",['MeruPuri'],
72,Amana,Grey Hair,,['Youkai'],"[""Natsume's Book of Friends Season 4""]",
73,Locomon,Artificial Intelligence (AI),Monster,"['Digimon Tamers Movie: Runaway Locomon', 'Digimon Xros Wars: Toki o Kakeru Shounen Hunter-tachi']",,
74,Misaki,Female,Blonde Hair,"['Pervert', 'Teenager']","['Hoozuki-san Chi no Aneki', 'Hoozuki-san Chi no Aneki + Imouto']",
75,Ume,White Hair,,"['Animal', 'Dog']","['Dear', 'Watashi no Ookami-san.']",
76,Kaoru,Female,Brown Hair,['Child'],['Princess Resurrection'],
77,Komet,Female,Orange Hair,['Prism Ark'],,
78,George GRIMWOOD,Male,Brown Hair,"['Facial Hair', 'Wealthy']",['Riding Bean'],
79,Hajime SUZUKI,Male,,['Martial Artist'],"[""History's Strongest Disciple Kenichi""]",
80,Takako YAJIMA,Female,Brown Hair,"['Blind', 'Blindfold', 'Disabled']",['Un-Go'],
81,Makimura,Male,,"['High School Student', 'Teenager']",['His Favorite'],
82,Rika HOUJOU,Female,Black Hair,"['High School Student', 'Model', 'Student Council', 'Teenager']",['High Score'],
83,Jacqueline SIMONE,Female,Purple Hair,"['Adult', 'Military']","['Mobile Suit Gundam 0083: Stardust Memory', 'Mobile Suit Gundam 0083: The Afterglow of Zeon']",
84,Seilan,Male,,"['Adult', 'Butler', 'Glasses', 'Ponytail', 'Scar']",['07-Ghost'],
85,Julusmole BAYHAN,Male,Black Hair,"['LGBT+', 'Teenager']",['The Heart of Thomas'],
86,Sanzomon,Female,Blonde Hair,"['Artificial Intelligence (AI)', 'Hat', 'Monster']",['Digimon Xros Wars: Toki o Kakeru Shounen Hunter-tachi'],
87,Sunao MURAI,Female,Black Hair,"['Adult', 'Military']",['Gasaraki'],
88,Melia MAS GRAVE,Female,Blonde Hair,"['Sugar Dark (Light Novel)', 'Sugar Dark: Umerareta Yami to Shoujo']",,
89,Akechi,Female,,"['Lesbian', 'LGBT+', 'Teenager']",['Sayuri Hime'],
90,Kousuke MACHIDA,Male,Brown Hair,"['Class Representative', 'Headband', 'High School Student']",['Tonagura!'],['Tona-Gura!']
91,Heitaro ONIZUKA,Male,Black Hair,"['Detective', 'Hot-Headed', 'Police']",['Mouse'],
92,Totepo,Male,Black Hair,"['Muscular', 'Scar']",['Dragon Ball Z Special 1: Bardock - The Father of Goku'],
