,Names,Gender,Hair_Color,Tags,Anime,Manga
54985,Sam,Male,Brown Hair,"['Bloodthirsty', 'Ghost', 'Gloves']","['The Death Mage (Light Novel)', 'Yondome wa Iyana Shi Zokusei Majutsushi']",
54986,Koharuko KOIWAI,Female,Black Hair,"['Adult', 'Glasses', 'Ponytail']",['Yotsuba&!'],
54987,Hirate MASAHIDE,Male,White Hair,"['Balding', 'Elderly', 'Facial Hair', 'Historical Figure', 'Topknot']",['Kochoki'],
54988,Hwanhyeok KIM,Male,Black Hair,"['Royalty', 'Twin']","[""They Say I Was Born a King's Daughter""]",
54989,Sangah KIM,Female,Black Hair,"['Royalty', 'Twin']","[""They Say I Was Born a King's Daughter""]",
54990,Claire,Female,Black Hair,"['Gloves', 'Maid', 'Ponytail']","[""Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note""]",
54991,Theodore SHERMAN,Male,Blonde Hair,"['Cowardly', 'Military Veteran', 'Shapeshifter', 'Superpowers']",['To the Abandoned Sacred Beasts'],['To The Abandoned Sacred Beasts']
54992,Katsumichi HIGASHIYAMA,Male,Brown Hair,"['Athlete', 'High School Student', 'Teenager', 'Volleyball Player']",['Haikyuu!! Second Season'],
54993,Nobuyoshi IZAKA,Male,Black Hair,"['Athlete', 'High School Student', 'Teenager', 'Volleyball Player']",['Haikyuu!! Second Season'],
54994,Tsuyoshi MATSUSHIMA,Male,Blonde Hair,"['Athlete', 'High School Student', 'Teenager', 'Volleyball Player']",['Haikyuu!! Second Season'],
54995,June,Male,Brown Hair,['Knight'],"['The Abandoned Empress', 'The Abandoned Empress (Novel)']",
54996,Teruo ASHIMOTO,Male,Black Hair,"['Adult', 'Glasses', 'Single Parent']",['Lu Over the Wall'],
54997,Shuu TSUGE,Male,Black Hair,['Military'],['GATE'],
54998,Min Do Yeon,Just Right There!,,,,
54999,Jun KURIHAMA,Male,Brown Hair,"['Military', 'Pilot', 'Sunglasses']",['GATE (2016)'],
55000,Imazu,Male,Brown Hair,['Military'],['GATE (2016)'],
55001,Nayu,Female,Blonde Hair,"['Dark-skinned', 'Elf', 'Pointy Ears']",['GATE (2016)'],
55002,Felicia SUWAROSE,Female,Brown Hair,"['Cook', 'Headband', 'Nobility', 'Person in a Strange World', 'Teenager']","['Lady Rose wa Heimin ni Naritai', 'Lady Rose wa Heimin ni Naritai (Light Novel)']",
55003,Ashley CARLISLE,Male,Blonde Hair,"['Hair Ribbons', 'Ponytail']","['Tensei Shite Yandere Kouryaku Taishou Chara to Shujuukankei ni Natta Kekka', 'Tensei Shite Yandere Kouryaku Taishou Chara to Shujuukankei ni Natta Kekka (Light Novel)']",
55004,Kikka,Female,Brown Hair,"['Braids', 'Exotic Eyes', 'Pointy Ears', 'Snaggletooth']",['The Ones Within'],
55005,Miyoko,Female,Black Hair,['When Marnie Was There'],,
55006,Q-Taro BURGERBERG,Male,,['Your Turn to Die: Majority Vote Death Game'],,
55007,Yunwoo HEO,Male,,"['Adult', 'Ponytail']",['Love Is An Illusion'],
55008,Flynn GILBET,Female,Grey Hair,"['Nobility', 'Ponytail', 'Widow']","['Kyo Kara Maoh!', 'Kyo Kara Maoh! R']",
55009,Shinya,Male,Brown Hair,['The Ones Within'],,
55010,Shinji DAIDOU,Male,Grey Hair,"['Adult', 'Omegaverse Alpha', 'Seme', 'Wealthy']","['Liar Mate: Let That Scent Soak Deep Inside', 'Usotsuki na Tsugai: Sono Nioi, Naka made Shimikomasete - Subaru to Mizuki-hen']",
55011,Nanao SAKUSHIMA,Male,,"['High School Student', 'Omegaverse Omega', 'Prostitute', 'Teenager', 'Uke']",['Midara na Omega wa Koi wo Shinai'],
55012,Soushi ASHIYA,Male,,"['High School Student', 'Omegaverse Alpha', 'Seme', 'Teenager']",['Midara na Omega wa Koi wo Shinai'],
55013,Bardiel,Monster,,['Neon Genesis Evangelion'],['Neon Genesis Evangelion'],
55014,Armisael,Monster,,['Neon Genesis Evangelion'],['Neon Genesis Evangelion'],
55015,Hajime KANOU,Male,Brown Hair,"['Battle Gamer', 'Glasses', 'Middle School Student']","['Subete no Jinrui wo Hakai Suru. Sorera wa Saisei Dekinai.', 'Subete no Jinrui wo Hakai Suru. Sorera wa Saisei Dekinai. (Pilot)']",
55016,Ibuki,Female,White Hair,"['Face Markings', 'Hair Ribbons', 'Horns', 'Immortal', 'Rapunzel Hair', 'Shapeshifter', 'Youkai']",['Black Torch'],
55017,Meru OKITA,Female,Brown Hair,['Idol'],['Magical Girl Site'],['Magical Girl Site']
55018,Himi KUOKA,Female,Black Hair,['Idol'],['Magical Girl Site'],['Magical Girl Site']
55019,Quartz,Male,,"['Blinding Bangs', 'Eye Patch', 'Ponytail']","[""I'm the Villainess, So I'm Taming the Final Boss""]","[""I'm the Villainess, So I'm Taming the Final Boss"", 'I’m the Villainess, So I’m Taming the Final Boss (Light Novel)']"
55020,Miles BYRON,Male,White Hair,"['Archer', 'Lancer', 'Military Veteran', 'Ponytail', 'Shapeshifter', 'Superpowers']",['To the Abandoned Sacred Beasts'],['To The Abandoned Sacred Beasts']
55021,Taehoon PARK,Male,Black Hair,"['Adult', 'Cook', 'LGBT+', 'Scar', 'Smoker']",['Liebling!'],
55022,Ryleigrand SURGE,Male,,"['Elemental Powers', 'Fire Powers', 'Magic User', 'Nobility', 'Sickly']","['Skill ""Daidokoro Shoukan"" wa Sugoi! Isekai de Gohan Tsukutte Point Tamemasu', 'Skill ""Daidokoro Shoukan"" wa Sugoi! Isekai de Gohan Tsukutte Point Tamemasu (Light Novel)']",
55023,Ash CLAUDE,Male,Black Hair,"['Artificial Intelligence (AI)', 'Battle Gamer', 'Hat']","['Zenonzard The Animation', 'Zenonzard The Animation Episode 0']",
55024,Opal HOLLOWAY,Female,Blonde Hair,"['Hair Ribbons', 'Nobility', 'Rapunzel Hair']","['Yaneurabeya no Koushaku Fujin', 'Yaneurabeya no Koushaku Fujin (Light Novel)']",
55025,Yuki MINEGISHI,Male,,"['Athlete', 'Teenager', 'Triplet', 'Volleyball Player']",['Fushidara na Hanatsumi Otoko'],
55026,Hikaru ARAKI,Male,,"['Adult', 'Flirt', 'Gay', 'LGBT+', 'Salaryman']",['Fushidara na Hanatsumi Otoko'],
55027,Octopus Dude Clerk,Male,,['Fruits Basket 1st Season'],,
55028,Cha-Yeon JIN,Female,Red Hair,"['Merchant', 'Stoic']","[""Hari's Sexy Star""]",
55029,Makoto FUETA,Male,Brown Hair,"['High School Student', 'Scar', 'Teenager']","['Kami-sama, Ki-sama wo Koroshitai.']",
55030,Kyousuke SHIMIZU,Male,Black Hair,"['Prostitute', 'Smoker']","['I: Episode 0', 'Itou-san (Sui KURAKA)']",
55031,D,Male,Black Hair,"['Adult', 'Assassin', 'Gay', 'Gunslinger', 'LGBT+', 'Scar', 'Smoker']",['Zero at the Bone'],
55032,Ren SHIBUSAWA,Female,Pink Hair,"['High School Student', 'Pigtails', 'Student Council', 'Teenager']",['After School Dice Club'],
