,Names,Gender,Hair_Color,Tags,Anime,Manga
0,Sumiya,Male,Black Hair,"['Glasses', 'Salaryman']",['Blazer Drive'],
1,Shito,Female,White Hair,"['Animal', 'Cat']",['Kotatsu Neko'],
2,Mekka MANNEN,Male,Black Hair,['K.O. Beast'],,
3,Takuma,Male,Black Hair,"['Elementary School Student', 'Mischievous']",['Kaidan Restaurant'],
4,Shoukou,Male,Black Hair,['Politician'],['The Twelve Kingdoms'],['The Twelve Kingdoms (Light Novel)']
5,Chris,Female,Brown Hair,['URDA'],,
6,Kuruku,Male,Orange Hair,['Magic User'],['Unico in the Island of Magic'],
7,Spirit of Early Education,Male,,"['Adult', 'Headband', 'Scantily-clad']",['Mainichi Kaasan'],
8,Shunpei HARUMAKI,Male,Black Hair,['High School Student'],['Azusa Will Help!'],
9,Tonomura,Male,Brown Hair,['High School Student'],['Azusa Will Help!'],
10,Tanabe,Male,Black Hair,"['Glasses', 'High School Student']",['Azusa Will Help!'],
11,3-5-10,G-9,,,,
12,Minami,Female,,['Adult'],['Kimi ga Waratta'],
13,Yumeko,Female,Brown Hair,['Child'],['GeGeGe no Kitarou (1985)'],
14,Takashi SOGA,Male,Black Hair,"['Adult', 'Detective']",['Himitsu: The Revelation'],['Himitsu']
15,Rod,Male,Blonde Hair,"['Adult', 'Heavy Drinker', 'Military']",['Papuwa'],
16,Umako,Black Hair,,"['Facial Hair', 'Mercenary', 'Muscular', 'Scar']",['Papuwa'],
17,Professor HIKAWA,Female,Brown Hair,"['Adult', 'Glasses', 'Ponytail', 'Scientist']",['Jungle Emperor Leo: The Brave Can Change the Future'],
18,George III,Male,Brown Hair,"['Adult', 'Historical Figure', 'Ponytail', 'Royalty']","[""Le Chevalier D'Eon""]",
19,Katagiri,Male,Brown Hair,"['Adult', 'Facial Hair', 'Glasses', 'Hat']",['Zipang'],
20,Windt DELYUS,Male,Brown Hair,"['Adult', 'Twin']",['Kurau: Phantom Memory'],
21,Regel DELYUS,Male,Brown Hair,"['Adult', 'Twin']",['Kurau: Phantom Memory'],
22,Frog Zelos,Male,Black Hair,"['Adult', 'Armor', 'Helmet', 'Warrior']","['Saint Seiya: The Hades Chapter - Sanctuary', 'Saint Seiya: The Lost Canvas - Meiou Shinwa']",
23,Gran,Animal,Anthropomorphic,['Animal Treasure Island'],,
24,Worm Raimi,Male,,"['Armor', 'Helmet', 'Sadistic', 'Sharp Teeth', 'Superpowers', 'Warrior']","['Saint Seiya: The Hades Chapter - Sanctuary', 'Saint Seiya: The Lost Canvas - Meiou Shinwa']","['Knights of the Zodiac', 'Saint Seiya: The Lost Canvas']"
25,Yuuzou KODAKA,Male,Grey Hair,"['Adult', 'Wealthy']",['Bokurano'],['Bokurano: Ours']
26,Grinder,Male,Grey Hair,"['Animal', 'Dog']","[""Hello Kitty's Furry Tale Theater""]",
27,Penelope,Female,,['Animal'],['Tamala 2010: A Punk Cat in Space'],
28,Brevis,Moyashimon: Microbe Theatre Deluxe,,,,
29,Plantarum,Moyashimon: Microbe Theatre Deluxe,,,,
30,Werushiki,Moyashimon: Microbe Theatre Deluxe,,,,
31,Stapylococcus Aureus,Moyashimon: Microbe Theatre Deluxe,,,,
32,Oka-chan,Male,Brown Hair,['Ghiblies'],,
33,General Ko,Female,,"['Elderly', 'Magic User', 'Military']",['Clover (CLAMP)'],
34,Pairon,Male,Black Hair,"['Adult', 'Elemental Powers', 'Mole', 'Ruthless', 'Scar', 'Smoker', 'Water Powers']",['Tokyo Underground'],['Tokyo Underground']
35,Ena,Female,Brown Hair,['Shoka'],,
36,Salo,Male,Brown Hair,"['Child', 'Warrior']","['Saint Seiya: The Lost Canvas - Meiou Shinwa', 'Saint Seiya: The Lost Canvas - Meiou Shinwa 2nd Chapter']",
37,Muskrat,Male,Grey Hair,['Comet in Moominland'],,
38,Hermes,Female,Green Hair,"['Magical Girl', 'Twin']",['Okusama wa Mahou Shoujo'],
39,Tatsuhiko MASHU,Male,Brown Hair,"['Adult', 'Big Ego', 'University Student', 'Wealthy']",['Sakura Diaries'],['Sakura Diaries']
40,Shuichi TAKAHASHI,Male,Brown Hair,"['Glasses', 'High School Student', 'Teenager']",['Ryokunohara Labyrinth'],
41,Ijima MASAYOSHI,Male,Brown Hair,"['High School Student', 'Teenager']",['Ryokunohara Labyrinth'],
42,Blue Cheese,Male,Black Hair,"['Hat', 'Thief']",['$100 is Too Cheap'],
43,Mami TOKIDO,Female,,"['Idol', 'Lesbian', 'LGBT+']",['Yappari Idol'],
44,Kei KANIE,Female,,"['Hair Antenna', 'Hair Buns', 'Idol', 'Lesbian', 'LGBT+', 'Pigtails']",['Yappari Idol'],
45,Neo,Female,,"['High School Student', 'Musician', 'Teenager']",['Torokeru You na Kiss wo Kanadete'],
46,Haco,Male,Black Hair,"['Goggles', 'Robot']",['Haco'],
47,Oscar,Male,,"['Animal', 'Cat']",['Itadakimasu'],
48,Ouji TSUBAKI,Male,Brown Hair,"['High School Student', 'Teenager']",['Itadakimasu'],
49,Santa,Male,Black Hair,"['Adult', 'Facial Hair', 'Headband', 'Poor']",['Oh! Edo Rocket'],
50,Fubuki,Male,,"['High School Student', 'Orphan', 'Teenager']",['Awayuki no Namida'],
51,Kotoko's Father,Male,,['Ghost'],['Birthday Presents'],
52,Woman,Female,Red Hair,"['Adult', 'Ponytail']",['A Silent Greeting'],
53,Junko KANZAKI,Female,Brown Hair,"['Adult', 'Doctor']",['Sin in the Rain'],
54,Yamanami,Female,,['Adult'],['Hitori-tachi'],
55,Mitsuru ODAGIRI,Male,,"['Adult', 'Model', 'Smoker']",['Lose Control'],
56,Sawako's Mother,Female,,['Adult'],['Vitamin'],
57,Sumire KASUGANO,Female,Brown Hair,['Headband'],"['Mahou Tsukai Sally', 'Mahou Tsukai Sally 2']",
58,Sally's Mother,Female,Brown Hair,['Magic User'],"['Mahou Tsukai Sally', 'Mahou Tsukai Sally 2']",
59,Kabu,Male,Brown Hair,"['Child', 'Magic User']","['Mahou Tsukai Sally', 'Mahou Tsukai Sally 2', 'Mahou Tsukai Sally Movie']",
60,Kokoro HANASAKI,Female,Blonde Hair,"['High School Student', 'Teenager']",['Tonari no Inuyama-kun'],
61,Kaoru SANZAWA,Female,,"['Adult', 'Glasses']",['Fukugaeru'],
62,Mimi SHIN,Female,,"['Big Ego', 'Bossy', 'High School Student', 'Selfish', 'Teenager', 'Wealthy']",['He Dedicated to Roses'],
63,Orphanage Director,Female,Grey Hair,"['Elderly', 'Pervert']",['Rainbow: Nisha Rokubou no Shichinin'],
64,Yano,Male,,"['Glasses', 'Middle School Student', 'Student Council', 'Teenager']",['NORA: The Last Chronicle of Devildom'],
65,Fujimoto,Male,,"['Middle School Student', 'Student Council', 'Teenager']",['NORA: The Last Chronicle of Devildom'],
66,Keto-Keto,Male,,"['Demon', 'Hat', 'Monocle']",['NORA: The Last Chronicle of Devildom'],
67,Gentari,Male,White Hair,"['Elderly', 'Facial Hair', 'Hat', 'Magnificent Mustache', 'Pointy Ears', 'Twin']",['The Legend of Zelda: The Minish Cap'],
68,Erika AKAGI,Female,,"['Adult', 'Glasses', 'Teacher']",['Akahime Ranshin'],
69,Atsuka OONO,Female,,"['Athlete', 'High School Student', 'Teenager', 'Track and Fielder']",['Your Color'],
70,Victoria DE DANGLARS,Female,Green Hair,"['Adult', 'Wealthy']",['Gankutsuou: The Count of Monte Cristo'],
71,Julian DANGLARS,Male,Orange Hair,"['Adult', 'Balding', 'Facial Hair', 'Selfish', 'Sunglasses', 'Wealthy']",['Gankutsuou: The Count of Monte Cristo'],['Gankutsuou']
72,Kiyomi,Female,,"['High School Student', 'Sadistic', 'Teenager']",['Hoho ni Shizumu'],
73,Lisa,Female,,['Royalty'],"['Kimi wa ""Suki"" no Daimeishi']",
74,Mai ISHIMORI,Female,,['Teenager'],['Kinenbi Tokubetsu na H'],
75,Toshiro HONDA,Male,Brown Hair,"['Adult', 'Glasses', 'Mechanic']","[""You're Under Arrest! Fast & Furious"", ""You're Under Arrest: Full Throttle""]",
76,Kouji,Male,,"['Adult', 'Facial Hair']",['Reizou(ko) Ningen Dai 1-gou'],
77,Suzuki,Male,,"['High School Student', 'Sickly', 'Teenager']",['Flowers'],
78,Takayama,Male,,"['High School Student', 'Teenager']",['Kon no Ki Konoha'],
79,Pou AIJEE,Male,Black Hair,"['Adult', 'Crybaby', 'Mecha Pilot', 'Military']","['Turn A Gundam', 'Turn A Gundam I: Earth Light', 'Turn A Gundam II: Moonlight Butterfly']",
80,Kazuma KUROBE,Male,Grey Hair,"['Balding', 'Glasses']",['Get Backers'],
81,Haruo OHTAKI,Elderly,Epic Eyebrows,['Get Backers'],,
82,Madoka NINOMIYA,Female,,"['Artist', 'High School Student', 'Teenager']",['Yuri Hime Selection'],
83,Michael HANADA,Male,,"['Baby', 'Sadistic']",['Eternal Family'],
84,Marco MARDEENY,Male,Black Hair,"['Cook', 'Hat', 'Middle School Student', 'Superpowers', 'Teenager']","['Shounen Sunday CM: The Law of Ueki', 'The Law of Ueki']",['The Law of Ueki']
85,Watanabe,Male,Black Hair,['Military'],['Tactics'],
86,Barua,Female,Blue Hair,['Magic User'],['Mahou Gakuen Lunar! Aoi Ryuu no Himitsu'],
87,Mayuri,Female,Orange Hair,"['High School Student', 'Teenager']",['Gokujou Twins'],
88,Iku KAMIZONO,Male,,"['Adult', 'Animal Lover', 'Glasses', 'Writer']",['Kimi wo Omofu'],
89,Mizuki,Female,,"['High School Student', 'Ponytail', 'Teenager']",['My Wonderful Sweets'],
90,Akiyoshi,Male,,"['Delinquent', 'High School Student', 'Scar', 'Teenager']",['My Wonderful Sweets'],
91,Kaname,Male,,"['Child', 'Elementary School Student']",['N is for Nishiki'],
92,Nishiki,Male,,"['Agent of the Afterlife', 'Anti-Gravity Hair', 'Shinigami']",['N is for Nishiki'],
93,Orlo,Male,Black Hair,"['Delinquent', 'Freckles', 'Teenager']",['Future Boy Conan'],
94,Karen TAKAMINE,Female,Black Hair,"['High School Student', 'Teenager']",['Koorihime Kitan'],
95,Akane HIMENO,Female,,"['Crybaby', 'High School Student', 'Teenager']",['Dare nimo Ienai! (Ayano SAIJOU)'],
96,Gurano,Male,Blonde Hair,"['Closed Eyes', 'Middle School Student', 'Superpowers', 'Teenager']",['The Law of Ueki'],['The Law of Ueki']
97,Zack,Male,Orange Hair,"['Adult', 'Epic Eyebrows']",['The Law of Ueki'],['The Law of Ueki']
98,Betty,Female,Red Hair,"['Child', 'Pirate']","[""Doraemon Movie 19: Nobita's South Sea Adventure""]",
99,Ayumi KOBAYASHI,Female,,"['High School Student', 'Teenager']",['Secret Kiss'],
100,Chihiro KOMIYAMA,Female,,['University Student'],['Cherish'],
