,Names,Gender,Hair_Color,Tags,Anime,Manga
101,Iku KOREEDA,Male,,"['Adult', 'Doctor']",['Spicy Pink'],
102,Risa KOREEDA,Female,,"['Adult', 'University Student']",['Spicy Pink'],
103,Yumi,Female,,"['Middle School Student', 'Teenager']",['Fall In Love Like a Comic!'],
104,Keiko NANJO,Female,,"['Adult', 'Glasses']",['Fall In Love Like a Comic!'],
105,Kaede AGANO,Female,Brown Hair,['Martial Artist'],['Neon Genesis Evangelion: The Shinji Ikari Raising Project'],
106,Kyoko NAKAHARA,Female,,['A Distant Neighborhood'],,
107,Yudy,Female,,['Twin'],['Hanshin: Half-God'],
108,Jim,Male,,"['Adult', 'Facial Hair', 'Gay', 'LGBT+', 'Smoker', 'Writer']",['not simple'],
109,Ichi KUROGAWA,Female,,"['Bookworm', 'High School Student', 'Teenager']",['Beauty is the Beast'],
110,Keito,Female,,['Adult'],['Beauty is the Beast'],
111,Shin'ichirou SAKURAI,Male,Black Hair,"['Adult', 'Facial Hair', 'Glasses']","['Night Raid 1931', 'Night Raid 1931: Demon of the Opium Den', 'Night Raid 1931: Prophecy', ""Night Raid 1931: The Shipboard Shoot's Conclusion""]",
112,Lily,Female,Brown Hair,['Fairy Musketeers'],,
113,Sahasrahla,Male,White Hair,"['Breathtaking Beard', 'Elderly', 'Facial Hair', 'Hat', 'Pointy Ears']",['The Legend of Zelda: A Link to the Past (2005)'],
114,Sachiko AMAMI,Female,,"['Crybaby', 'Glasses', 'Middle School Student', 'Shy', 'Teenager']",['14 Juicy'],
115,Yamamoto,Male,Brown Hair,"['Adult', 'Facial Hair', 'Glasses']","[""Be-Boy Kidnapp'n Idol""]",
116,Sally,Female,Purple Hair,['Glasses'],['Dragon Drive'],
117,Shiori FUKUSHIMA,Female,,"['Adult', 'Flirt', 'Selfish', 'Smoker']","[""You're My Pet""]",
118,Shiro KUROSAWA,Male,Red Hair,"['Clumsy', 'Verbal Tic']",['Dragon Drive'],
119,Rika,Female,Blonde Hair,"['High School Student', 'Teenager']",['Honey Honey Boy - He Is a Sweet Temptation'],
120,Akira NARIKAWA,Male,,['Katana'],,
121,Bram VAN HELSING,Male,,"['Half-Breed', 'Teenager', 'Vampire']","['Kusari ni Kiss', 'Lollipop Dragoon', 'Necratoholic']",
122,Hans,Male,Brown Hair,['Fairy Musketeers'],,
123,Haruko TEZUKA,Female,Red Hair,"['Child', 'Elementary School Student']",['Kaede New Town'],
124,Dr. Marika,Male,,"['Android', 'Doctor', 'Robot']",['Organic'],
125,Kiike HIROMASE,Male,,"['Adult', 'Inventor']",['Organic'],
126,Nancy THISTLEWAITE,Female,,['Adult'],['Mistress Fortune'],
127,Sugisaki,Male,,"['Adult', 'Facial Hair', 'Hat', 'University Student']",['Soryanaize Darling'],
128,Otome INAZUMA,Female,,"['High School Student', 'Teenager']",['Otomentaru'],
129,Touyou BITOU,Male,,"['Gangster', 'High School Student', 'Teenager']",['Otomentaru'],
130,Runa KUON,Female,,['Teenager'],['Christmas ni Kagayaku'],
131,Ringo ITSUKI,Female,,"['Bookworm', 'Glasses', 'High School Student', 'Teenager']",['Oishii Study'],
132,Azrael,Black Hair,,"['Animal', 'Cat', 'Smoker']","['Tayutama -Kiss on my Deity-', 'Tayutayu -Pure my Heart-']",
133,Friday MONDAY,Male,Grey Hair,"['Adult', 'Masks']",['Madlax'],
134,Anri,Female,Purple Hair,['Cooking Master Boy'],,
135,Shouan,Male,Grey Hair,"['Cook', 'Eye Patch', 'Hair Antenna']","['Cooking Master Boy', 'True Cooking Master Boy']",
136,Apollo,Male,Brown Hair,"['Adult', 'Assassin', 'Spy']",['009-1'],
137,Ben WOODER,Male,Blonde Hair,"['Adult', 'Mecha Pilot', 'Military']","['Mobile Suit Zeta Gundam', 'Mobile Suit Zeta Gundam: A New Translation II -Lovers-']","[""Mobile Suit Gundam: Char's Deleted Affair ~ Portrait of Young Comet""]"
138,Namicar CORNELL,Female,Brown Hair,"['Adult', 'Glasses', 'Mechanic', 'Scientist']","['Mobile Suit Zeta Gundam', 'Mobile Suit Zeta Gundam: A New Translation II -Lovers-']",
139,Goemon ABASHIRI,Male,Black Hair,"['Pervert', 'Thief']",['The Abashiri Family'],
140,Kichiza ABASHIRI,Male,,['The Abashiri Family'],,
141,Hiroki KUDO,Male,Green Hair,"['Delinquent', 'Piercings', 'Smoker', 'Teenager']",['Gokusen'],['Gokusen']
142,Scarlet Claw,Female,Brown Hair,"['Choker', 'Headband', 'Sharp Teeth']",['Re: Cutie Honey'],
143,Gold CLAW,Female,Orange Hair,"['Anti-Gravity Hair', 'Armor', 'Helmet', 'Muscular', 'Ponytail', 'Sharp Teeth']",['Re: Cutie Honey'],
144,Noboru,Male,,['Ichi the Killer'],,
145,Takayama,Male,,"['Gangster', 'Piercings']",['Ichi the Killer'],
146,Takeshi KANEKO,Male,,['Ichi the Killer'],,
147,Druid,Female,Blue Hair,['Once Upon A Time'],,
148,Goro HOSHIWATARI,Male,Brown Hair,"['Goggles', 'Teenager', 'Traveler']","['YAT Anshin! Uchuu Ryokou', 'YAT Anshin! Uchuu Ryokou 2']",
149,Ikkyu,Male,Black Hair,"['Facial Hair', 'Historical Figure', 'Ruthless']",['Read or Die'],
150,Keiko MOMOI,Female,Brown Hair,"['Adult', 'Reporter']",['Rocket Girls'],
151,Hiroshi MORITA,Male,Black Hair,"['Adult', 'Breathtaking Beard', 'Dark-skinned', 'Facial Hair']",['Rocket Girls'],['Rocket Girls (Light Novel)']
152,Gordon KRENIK,Male,Black Hair,"['Adult', 'Dark-skinned']",['Rocket Girls'],
153,Wayne BURKHEIMER,Male,Black Hair,['Adult'],['Rocket Girls'],
154,Chou,Male,Brown Hair,"['Adult', 'Closed Eyes', 'Cook', 'Facial Hair', 'Glasses']",['Rocket Girls'],
155,Radio Boy,Male,Black Hair,['Hat'],['Diamond Daydreams'],
156,Mr. Umeki,Male,Black Hair,"['Adult', 'Closed Eyes', 'Glasses']",['Dokkoida?!'],
157,Reegs,Male,Grey Hair,"['Adult', 'Facial Hair']",['Strait Jacket'],
158,Orikakan,Male,Brown Hair,"['Animal Ears', 'Cape', 'Circlet', 'Ponytail', 'Royalty', 'Vengeful']",['Utawarerumono'],
159,Jou ga,Female,,"['Demon', 'Sword Fighter']",['Night Wizard'],
160,Super,Male,Grey Hair,"['Elderly', 'Glasses']",['Homeroom Affairs'],
161,Havisham,Male,Brown Hair,"['Adult', 'Teacher']",['Strain: Strategic Armored Infantry'],
162,Yamada,Male,Blonde Hair,['Tokyo Marble Chocolate'],,
163,Asagi,Male,,['Ninja'],['Shinobu Kokoro: Hidden Heart'],
164,Ryoji NAKAJO,Male,,"['Flirt', 'High School Student', 'Teenager']","['Desire', 'Desire: Dangerous Feelings (Light Novel)']",
165,Toru MAIKI,Male,,"['Artist', 'High School Student', 'Teenager']","['Desire', 'Desire: Dangerous Feelings (Light Novel)']",
166,Kyouju HAYASHI,Male,,"['Adult', 'Closed Eyes', 'Facial Hair', 'Glasses', 'Teacher']",['Battle Programmer Shirase'],
167,Tenchou FUJIMOTO,Male,Black Hair,"['Adult', 'Facial Hair', 'Hat']",['Battle Programmer Shirase'],
168,Take,Female,Brown Hair,"['Elderly', 'Martial Artist']",['Ranma 1/2'],
169,Ichiru MORIO,Male,Black Hair,"['Gay', 'High School Student', 'LGBT+', 'Teenager']","['Shinydays', 'Vanilla']",
170,Hana MOMONCHO,Female,Orange Hair,"['Alien', 'Magnificent Mustache', 'Rabbit']",['Dokkoida?!'],['Dokkoida?!']
171,Riya,Male,Brown Hair,"['Adult', 'Facial Hair']",['Guin Saga'],
172,Possessed Statue,Inanimate Object,,['Mythical Detective Loki Ragnarok'],,
173,Heidrun,Brown Hair,,['Horns'],['Mythical Detective Loki Ragnarok'],
174,Obaba,Female,,['Magic User'],"['Bastard!!', 'Bastard!! Heavy Metal, Dark Fantasy', 'Bastard!! Heavy Metal, Dark Fantasy - Part II']",
175,Nobuko,Female,Black Hair,['Pigtails'],['Kijin Gahou'],
176,Ion's Mother,Female,,"['Adult', 'Single Parent']",['I.O.N'],
177,Minami,Female,,"['High School Student', 'Teenager']",['I.O.N'],
178,Yoko YUZUKI,Female,,"['Actor', 'Adult']",['Mouryou no Hako'],
179,Shibata,Male,Grey Hair,"['Butler', 'Elderly', 'Epic Eyebrows', 'Facial Hair']",['Majokko Tsukune-chan'],
180,Love SMITH,Female,Blonde Hair,"['Animal Ears', 'Hair Antenna', 'Hyperactive', 'Masks']",['Majokko Tsukune-chan'],
181,Lina's Father,Male,Blonde Hair,"['Adult', 'Facial Hair', 'Wealthy']","['Heroman', 'Heroman Specials']",
182,Reynard,Male,Brown Hair,"['Adult', 'Magic User', 'Masks', 'Ponytail']",['Scrapped Princess'],
183,Lieutenant Yamaoka,Male,,"['Adult', 'Hat', 'Military']",['The Cockpit'],
184,Bryan NOEBIL,Male,Brown Hair,"['Adult', 'Mecha Pilot']",['Gin-iro no Olynssis'],
185,Wolf,Male,White Hair,"['Adult', 'Pilot']",['Gin-iro no Olynssis'],
186,Commander Thomas JHANSEN,Male,,"['Adult', 'Bald', 'Breathtaking Beard', 'Facial Hair', 'Military']",['Gin-iro no Olynssis'],
187,Abercrombie,Male,Blonde Hair,['Astro Boy (2003)'],,
188,Sunmi,Female,Black Hair,['Tokyo Tribe 2'],,
189,Lil,Female,Multicolored Hair,['Shapeshifter'],['Luna Varga'],
190,Johnathan WASHINGTON,Male,Blonde Hair,"['Adult', 'Tattoo']",['Gunsmith Cats'],
191,Miyahito,Male,Red Hair,['Vampire Princess Miyu'],,
192,Matchiyama,Male,Black Hair,"['Big Ego', 'Glasses', 'High School Student']",['Vampire Princess Miyu TV'],
193,Kanji,Male,,['Bandana'],['Yellow'],
194,Mickey,Male,Black Hair,"['Hat', 'Musician']",['Rainbow: Nisha Rokubou no Shichinin'],
195,Mama A,Female,Black Hair,"['Adult', 'Scientist', 'Sunglasses']",['Rizelmine'],
196,Mama C,Female,Red Hair,"['Adult', 'Scientist', 'Sunglasses']",['Rizelmine'],
197,Eve MAKURAN,Male,,['Crossdresser'],['Judas'],
198,Mizuki AYASE,Female,,"['Headband', 'Orphan']",['Judas'],
199,Towa,Male,Blonde Hair,"['Gunslinger', 'Tattoo', 'Teenager']",['Cristo: Jougan no Messiah'],
200,Rena,Female,Brown Hair,['Heat Guy J'],,
201,Huck,Male,,"['Dark-skinned', 'Turban']",['Ali Baba to 40-hiki no Touzoku'],
202,Chris,Male,Brown Hair,['Person in a Strange World'],"[""Garzey's Wing""]",
203,Teto,Male,Brown Hair,"['Android', 'Robot', 'Rosy Cheeks']",['Heat Guy J'],
204,Professor Adashibara,Male,Black Hair,"['Adult', 'Glasses']",['Nura: Rise of the Youkai Clan'],['Nura: Rise of the Yokai Clan']
205,Doc HOLIDAY,Male,Blonde Hair,"['Adult', 'Hat', 'Smoker']",['Martian Successor Nadesico'],
206,Eikichi,Male,White Hair,"['Demon', 'Elderly', 'Facial Hair', 'Pointy Ears']",['Apocalypse Zero'],
207,Genzo,Male,Brown Hair,"['Adult', 'Facial Hair', 'Ponytail', 'Samurai']",['Samurai 7'],
208,Satoshi KAWAGUCHI,Male,Black Hair,['Child'],['Detective Conan Movie 14: The Lost Ship in the Sky'],
209,Esmerelda,Female,Blonde Hair,['Samurai 7'],,
210,Shazan,Male,Blonde Hair,"['Adult', 'Sunglasses']",['Gestalt'],
211,Soushi,Male,Blue Hair,"['Adult', 'Magic User', 'Nobility']",['Gestalt'],['Gestalt']
212,Buguese,Male,White Hair,['Masks'],"['Spider Riders', 'Spider Riders: Resurrected Sun']",
213,Lord Mantid,Male,,['Spider Riders'],,
214,Denkichi,Male,Black Hair,"['Balding', 'Topknot']",['Carried By The Wind: Tsukikage Ran'],
215,Tsuyoshi TAKUAN,Male,White Hair,['Very! Very! Sweet'],,
216,Hideki SHIBUYA,Male,Grey Hair,"['Star Driver', 'Star Driver: The Movie']",,
217,Akuaku,"Keroro Gunsou Movie 5: Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!",,,,
218,Rinko TERADA,Female,Red Hair,['Re: Cutie Honey'],,
219,Young Man,Male,Black Hair,"['Hat', 'Wings']",['Chocolate (Mitsukazu MIHARA)'],
220,Byaku,Male,,['Teenager'],['Law of Ueki Plus'],
221,Dimitri MAGAROV,Male,Brown Hair,"['Adult', 'Mecha Pilot']",['Linebarrels of Iron'],
222,Housei SANAGIDA,Male,Black Hair,"['Adult', 'Doctor', 'Glasses']",['Princess Resurrection'],['Princess Resurrection']
223,Peach,Animal,Dog,['Ontama!'],,
224,Naidou HARUTO,Male,,['En Passant'],,
225,Shivariel,Female,Blue Hair,"['Alien', 'Military']",['Blue Drop'],
226,Chang,Male,Blonde Hair,"['Facial Hair', 'Thief']","['Daphne in the Brilliant Blue', 'Daphne in the Brilliant Blue Specials']",
227,Kosuke YAGI,Male,Black Hair,"['Adult', 'Detective', 'Facial Hair', 'Police', 'Sunglasses']","['Daphne in the Brilliant Blue', 'Daphne in the Brilliant Blue Specials']",
228,Kevin WAYNE,Male,Blonde Hair,['Military'],['Daphne in the Brilliant Blue'],
229,Kota NAKAMURA,Male,Black Hair,['Ponytail'],['Daphne in the Brilliant Blue'],
230,Kenta TAKAHASHI,Male,Brown Hair,['Child'],['Daphne in the Brilliant Blue'],
231,Trevor,Male,Blue Hair,['Daphne in the Brilliant Blue'],,
232,Shams COUZA,Male,Black Hair,"['Bloodthirsty', 'Glasses', 'Mecha Pilot', 'Military', 'Racial Purist', 'Teenager']",['Mobile Suit Gundam SEED C.E.73: Stargazer'],
233,Sobi NAKAJIMA,Male,Black Hair,"['Adult', 'Mecha Pilot', 'Sadistic']",['Linebarrels of Iron'],
234,God,Male,,"['Deity', 'Facial Hair', 'Immortal']",['Push'],
235,Iwanami,Male,Brown Hair,"['Adult', 'Gangster', 'Scar']",['Heat Guy J'],
236,Nakazoto,Male,,['Scar'],['Void'],
237,Kaoru SEKIGUCHI,Male,,"['Adult', 'Doctor']",['Emerging'],
238,Mori,Female,,['Scientist'],['Emerging'],
239,Gege,Animal,,['Cool Cool Bye'],,
240,Luther GEMMA,Male,Black Hair,"['Adult', 'Facial Hair', 'Headband', 'Musician']","['Ys', 'Ys II: Castle in the Heavens']",
241,Naoya SHIOZAKI,Male,Brown Hair,"['High School Student', 'Teenager']","['Dual! Parallel Trouble Adventures', 'Dual Parallel! Trouble Adventures Special']",
242,Vanli,Female,Blue Hair,['Planetes'],,
243,Daryl WEBER,Male,Blonde Hair,['Adult'],['Read Or Die TV'],
244,Chief Tawashi,Male,,"['Adult', 'Facial Hair', 'Hat', 'Police']","['Astro Boy: Tetsuwan Atom', 'Pluto']",
245,Kuran NATSUME,Female,Brown Hair,"['Hair Antenna', 'Orphan', 'Teenager']",['Chaosic Rune'],
246,Kouji GASYA,Male,,['Glasses'],['Chaosic Rune'],
247,Hanaka,Female,,"['High School Student', 'Teenager']",['Chaosic Rune'],
248,Kayako,Purple Hair,,"['Adult', 'Mischievous']",['Kizuna: Much Ado About Nothing'],
249,Bao,Female,Blue Hair,"['Mole', 'Thief']",['Daphne in the Brilliant Blue'],
250,Samurai,Male,Black Hair,"['Adult', 'Samurai']",['Muramasa'],
251,Mitsuru,Male,Grey Hair,['Diamond Daydreams'],,
252,Toshiaki NITANI,Male,Black Hair,"['Adult', 'Glasses']",['Diamond Daydreams'],
253,Grandma,Female,Grey Hair,['Elderly'],['Diamond Daydreams'],
254,Prince Amat,Male,,"['Crown', 'Royalty']",['Alakazam the Great'],
255,Kirugisu-tan,Female,Orange Hair,"['Anthropomorphic', 'Child', 'Pigtails']",['Afghanistan'],
256,Tajikisu-tan,Female,Blue Hair,"['Anthropomorphic', 'Bandages', 'Hat', 'Tomboy']",['Afghanistan'],
257,Uzubekisu-tan,Female,Green Hair,"['Anthropomorphic', 'Hair Antenna', 'Hat', 'Pigtails']",['Afghanistan'],
258,Anthony,Male,Blonde Hair,"['Facial Hair', 'Gay', 'Hacker', 'LGBT+', 'Piercings', 'Tattoo']",['Miami Guns'],
259,Larry,Male,Blonde Hair,"['Adult', 'Pilot', 'Smoker']",['Geneshaft'],
260,ChaCha,Female,Black Hair,['Headband'],['Geneshaft'],
261,Luna,Female,,['Geneshaft'],,
262,Ueno,Male,Brown Hair,"['Adult', 'Artist', 'Glasses']",['Shigofumi'],
263,Kirei AIZAWA,Female,Blonde Hair,"['Adult', 'Selfish']",['Shigofumi'],
264,Jane,Female,Blonde Hair,"['Bossy', 'Overweight', 'Rosy Cheeks']",['Jungle King Tar-chan'],"['Jungle King Tar-chan', 'New Jungle King Tar-chan']"
265,Pedro KAZMAIER,Male,Black Hair,['Martial Artist'],['Jungle King Tar-chan'],['Jungle King Tar-chan']
266,Lupus,Male,Red Hair,['Military'],['Uchuu Kuubo Blue Noah'],
267,Spencer,Male,Black Hair,"['Glasses', 'Military']",['Uchuu Kuubo Blue Noah'],
268,Alan CARTER,Male,Brown Hair,['Military'],['Uchuu Kuubo Blue Noah'],
