,Names,Gender,Hair_Color,Tags,Anime,Manga
401,Shigeo KAGEYAMA,Male,Black Hair,"['Bowl Cut', 'Dandere', 'Middle School Student', 'Pacifist', 'Psychic Powers', 'Shy', 'Superpowers', 'Teenager']","['Mob Psycho 100', 'Mob Psycho 100 II', 'Mob Psycho 100 III', 'Mob Psycho 100 II: The First Spirits and Such Company Trip - A Journey that Mends the Heart and Heals the Soul', 'Mob Psycho 100 Reigen: The Miraculous Unknown Psychic', 'Mob Psycho Mini']","['Mob Psycho 100', 'Mob Psycho 100: Reigen']"
402,Jin,Male,Black Hair,"['Adult', 'Glasses', 'Photographic Memory', 'Ponytail', 'Samurai', 'Traveler']",['Samurai Champloo'],['Samurai Champloo']
403,Migi,Alien,Shared Body,['Parasyte -the maxim-'],"['Fairy Tail S: Tales from Fairy Tail', 'Parasyte']",
404,Kagami HIIRAGI,Female,Purple Hair,"['Class Representative', 'Hair Ribbons', 'High School Student', 'Pigtails', 'Shrine Maiden', 'Teenager', 'Tsundere', 'Twin', 'Video Gamer']","['Kannagi', 'Lucky Star', 'Lucky Star OVA', 'Miyakawa-ke no Kuufuku']","['Lucky Star', 'Lucky Star: Comic a la Carte', 'Lucky Star: Pocket Travelers', 'Miyakawa-ke no Kuufuku', 'Miyakawa-ke no Kuufuku (Light Novel)']"
405,Chitoge KIRISAKI,Female,Blonde Hair,"['Deadly Chef', 'Hair Ribbons', 'High School Student', 'Hot-Headed', 'Teenager', 'Transfer Student', 'Tsundere', 'Wealthy']","['Nisekoi', 'Nisekoi:', 'Nisekoi: Four Seasons', 'Nisekoimonogatari', 'Nisekoi OVA', 'Nisekoi: OVA']","['Koi no Kamisama', 'Magical Pâtissier Kosaki-chan', 'Nisekoi Bangai-hen: Ticket', 'Nisekoi: False Love', 'Nisekyuu!!', 'Ore Koi!!']"
406,Madoka KANAME,Female,Pink Hair,"['Hair Ribbons', 'Magical Girl', 'Middle School Student', 'Pigtails', 'Teenager']","['ClariS: Luminous', 'Magia Record: Puella Magi Madoka Magica Side Story', 'Magia Record: Puella Magi Madoka Magica Side Story Final Season - Dawn of a Shallow Dream', 'Magia Record: Puella Magi Madoka Magica Side Story Season 2 - The Eve of Awakening', 'Puella Magi Madoka Magica', 'Puella Magi Madoka Magica: Concept Movie', 'Puella Magi Madoka Magica: Magica Quartet x Nisioisin', 'Puella Magi Madoka Magica the Movie Part 1: Beginnings', 'Puella Magi Madoka Magica the Movie Part 2: Eternal', 'Puella Magi Madoka Magica the Movie Part 3: Rebellion', 'Puella Magi Madoka Magica the Movie Part 4: Walpurgisnacht - Rising']","['Café☆Griefseed e Youkoso!', 'Oideyo! Magicado Shoten', 'Puella Magi Homura Tamura: Parallel Worlds Do Not Remain Parallel Forever', 'Puella Magi Madoka Magica', 'Puella Magi Madoka Magica: Anthology Comic', ""Puella Magi Madoka Magica: Homura's Revenge!"", 'Puella Magi Madoka Magica (Light Novel)', 'Puella Magi Madoka☆Magica: The Different Story', 'Puella Magi Madoka Magica: The Movie - Rebellion', 'Puella Magi Madoka Magica: Wraith Arc', 'Puella Magi Oriko Magica', 'Puella Magi Oriko Magica: Sadness Prayer']"
407,Choji AKIMICHI,Male,Brown Hair,"['Big Eater', 'Face Markings', 'Headband', 'Ninja', 'Piercings']","['Boruto: Jump Festa 2016 Special', 'Boruto: Naruto Next Generations', 'Boruto: Naruto the Movie', 'Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!', 'Naruto: Narutimate Hero 3 OVA', 'Naruto: Naruto to Mashin to Mitsu no Onegai Dattebayo!!', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 1', 'Naruto Shippuden Movie 2: Bonds', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden Movie 5: Blood Prison', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'The Last: Naruto the Movie']","['Boruto', 'Naruto', 'Naruto Shippuden Movie 5: Blood Prison (Light Novel)', 'Naruto: The Seventh Hokage and the Scarlet Spring', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
408,Kuroneko,Female,Black Hair,"['Artist', 'Cosplayer', 'Gothic Lolita', 'Mole', 'Otaku', 'Rosy Cheeks', 'Teenager']","['ClariS: Nexus', 'Eromanga Sensei', 'Oreimo', 'Oreimo 2', 'Oreimo 2 Animated Commentary', 'Oreimo 2 Specials', 'Oreimo Animated Commentary', 'Oreimo Specials']","['Oreimo', 'Oreimo Comic Anthology', 'Oreimo: Kuroneko', 'Ore no Imoto ga Konna ni Kawaii Wake ga Nai: Kuroneko if', 'Ore no Imouto ga Konna ni Kawaii Wake ga Nai: 4-koma Koushiki Anthology', 'Ore no Imouto ga Konna ni Kawaii Wake ga Nai (Light Novel)']"
409,Kento NANAMI,Male,Blonde Hair,"['Adult', 'Exorcist', 'Sunglasses', 'Sword Fighter']","['Eve: Kaikai Kitan', 'Juju Sanpo', 'Jujutsu Kaisen', 'Jujutsu Kaisen 0']","['Jujutsu Kaisen', 'Jujutsu Kaisen: Summer of Ashes, Autumn of Dust (Light Novel)']"
410,Kaonashi,Male,,"['Big Eater', 'Youkai']",['Spirited Away'],['Spirited Away']
